TEAM_ID,season_start_year,season,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,AST_RATIO,TM_TOV_PCT,EFG_PCT,FF_EFG_PCT,FTA_RATE,FF_TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,CLUTCH_NET_RATING,CONFERENCE,CONF_RANK,WINS,LOSSES,WinPCT,made_playoff_bracket,target_a_top10_conf,target_b_made_bracket,OFF_RATING_PCTILE,DEF_RATING_PCTILE,NET_RATING_PCTILE,PACE_PCTILE,AST_RATIO_PCTILE,TM_TOV_PCT_PCTILE,EFG_PCT_PCTILE,FF_EFG_PCT_PCTILE,FTA_RATE_PCTILE,FF_TM_TOV_PCT_PCTILE,OREB_PCT_PCTILE,OPP_EFG_PCT_PCTILE,OPP_FTA_RATE_PCTILE,OPP_TOV_PCT_PCTILE,OPP_OREB_PCT_PCTILE,CLUTCH_NET_RATING_PCTILE,LEAGUE_RANK,is_bottom_n,NEXT_OFF_RATING_PCTILE,NEXT_DEF_RATING_PCTILE,NEXT_NET_RATING_PCTILE,NEXT_PACE_PCTILE,NEXT_AST_RATIO_PCTILE,NEXT_TM_TOV_PCT_PCTILE,NEXT_EFG_PCT_PCTILE,NEXT_FF_EFG_PCT_PCTILE,NEXT_FTA_RATE_PCTILE,NEXT_FF_TM_TOV_PCT_PCTILE,NEXT_OREB_PCT_PCTILE,NEXT_OPP_EFG_PCT_PCTILE,NEXT_OPP_FTA_RATE_PCTILE,NEXT_OPP_TOV_PCT_PCTILE,NEXT_OPP_OREB_PCT_PCTILE,NEXT_CLUTCH_NET_RATING_PCTILE,NEXT_target_a_top10_conf,NEXT_target_b_made_bracket,DELTA_OFF_RATING_PCTILE,DELTA_DEF_RATING_PCTILE,DELTA_NET_RATING_PCTILE,DELTA_PACE_PCTILE,DELTA_AST_RATIO_PCTILE,DELTA_TM_TOV_PCT_PCTILE,DELTA_EFG_PCT_PCTILE,DELTA_FF_EFG_PCT_PCTILE,DELTA_FTA_RATE_PCTILE,DELTA_FF_TM_TOV_PCT_PCTILE,DELTA_OREB_PCT_PCTILE,DELTA_OPP_EFG_PCT_PCTILE,DELTA_OPP_FTA_RATE_PCTILE,DELTA_OPP_TOV_PCT_PCTILE,DELTA_OPP_OREB_PCT_PCTILE,DELTA_CLUTCH_NET_RATING_PCTILE,ROOKIES_on_roster_count,ROOKIES_best_pick_on_roster,ROOKIES_max_minutes,ROOKIES_total_minutes,star_added
1610612756,2021,2021-22,Phoenix Suns,114.2,106.8,7.5,100.26,19.5,0.129,0.549,0.549,0.221,0.129,0.264,0.51,0.257,0.146,0.272,33.4,West,1,64,18,0.78,True,True,True,0.8620689655172413,0.06896551724137931,1.0,0.7586206896551724,0.8620689655172413,0.10344827586206896,0.896551724137931,0.896551724137931,0.034482758620689655,0.10344827586206896,0.3103448275862069,0.06896551724137931,0.7241379310344828,0.7586206896551724,0.41379310344827586,1.0,1,False,0.5517241379310345,0.20689655172413793,0.7241379310344828,0.27586206896551724,0.896551724137931,0.3103448275862069,0.27586206896551724,0.27586206896551724,0.06896551724137931,0.3103448275862069,0.8620689655172413,0.13793103448275862,0.9655172413793104,0.6206896551724138,0.6896551724137931,0.41379310344827586,True,True,-0.31034482758620685,0.13793103448275862,-0.27586206896551724,-0.48275862068965514,0.034482758620689724,0.20689655172413796,-0.6206896551724138,-0.6206896551724138,0.034482758620689655,0.20689655172413796,0.5517241379310345,0.06896551724137931,0.24137931034482762,-0.13793103448275856,0.2758620689655173,-0.5862068965517242,0,,,0.0,True
1610612739,2022,2022-23,Cleveland Cavaliers,115.5,109.9,5.6,96.27,18.6,0.137,0.556,0.556,0.264,0.137,0.273,0.535,0.268,0.161,0.285,3.0,East,4,51,31,0.622,True,True,True,0.7586206896551724,0.0,0.9655172413793104,0.0,0.6551724137931034,0.3448275862068966,0.7241379310344828,0.7241379310344828,0.4827586206896552,0.3448275862068966,0.3103448275862069,0.1724137931034483,0.5172413793103449,0.896551724137931,0.6551724137931034,0.6551724137931034,5,False,0.4827586206896552,0.20689655172413793,0.6206896551724138,0.20689655172413793,0.896551724137931,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.3103448275862069,0.5862068965517241,0.27586206896551724,0.1724137931034483,0.4827586206896552,0.5172413793103449,0.41379310344827586,0.41379310344827586,True,True,-0.2758620689655172,0.20689655172413793,-0.3448275862068966,0.20689655172413793,0.24137931034482762,0.2413793103448275,-0.13793103448275867,-0.13793103448275867,-0.1724137931034483,0.2413793103448275,-0.03448275862068967,0.0,-0.03448275862068967,-0.3793103448275862,-0.24137931034482757,-0.24137931034482757,1,49.0,132.815,132.815,False
1610612743,2023,2023-24,Denver Nuggets,117.8,112.3,5.5,97.43,20.9,0.13,0.562,0.562,0.224,0.13,0.3,0.526,0.252,0.127,0.282,24.5,West,2,57,25,0.695,True,True,True,0.8620689655172413,0.2413793103448276,0.896551724137931,0.13793103448275862,0.9655172413793104,0.27586206896551724,0.7586206896551724,0.7586206896551724,0.1724137931034483,0.27586206896551724,0.8275862068965517,0.06896551724137931,0.6551724137931034,0.13793103448275862,0.4827586206896552,1.0,2,False,0.896551724137931,0.6896551724137931,0.7241379310344828,0.7586206896551724,1.0,0.3448275862068966,0.9655172413793104,0.9655172413793104,0.8620689655172413,0.3448275862068966,0.7931034482758621,0.5172413793103449,0.10344827586206896,0.10344827586206896,0.41379310344827586,0.9310344827586207,True,True,0.034482758620689724,0.4482758620689655,-0.1724137931034483,0.6206896551724137,0.03448275862068961,0.06896551724137934,0.206896551724138,0.206896551724138,0.689655172413793,0.06896551724137934,-0.03448275862068961,0.4482758620689655,-0.5517241379310345,-0.034482758620689655,-0.06896551724137934,-0.06896551724137934,0,,,0.0,False
1610612737,2018,2018-19,Atlanta Hawks,107.5,113.1,-5.5,104.56,17.7,0.162,0.522,0.522,0.255,0.162,0.284,0.541,0.313,0.143,0.282,4.7,East,12,29,53,0.354,False,False,False,0.2413793103448276,0.9310344827586207,0.13793103448275862,1.0,0.4827586206896552,1.0,0.4482758620689655,0.4482758620689655,0.41379310344827586,1.0,0.7586206896551724,0.8620689655172413,0.9655172413793104,0.6206896551724138,0.7931034482758621,0.7586206896551724,26,True,0.1724137931034483,0.9310344827586207,0.06896551724137931,0.7931034482758621,0.27586206896551724,0.896551724137931,0.1724137931034483,0.1724137931034483,0.3793103448275862,0.896551724137931,0.4827586206896552,0.7931034482758621,0.9655172413793104,0.4827586206896552,0.9655172413793104,0.41379310344827586,False,False,-0.06896551724137931,0.0,-0.06896551724137931,-0.2068965517241379,-0.20689655172413796,-0.10344827586206895,-0.27586206896551724,-0.27586206896551724,-0.03448275862068967,-0.10344827586206895,-0.2758620689655172,-0.06896551724137923,0.0,-0.13793103448275862,0.1724137931034483,-0.3448275862068965,3,4.0,2017.935,4281.208333333333,False
1610612752,2022,2022-23,New York Knicks,117.0,114.2,2.8,97.75,16.6,0.131,0.541,0.541,0.285,0.131,0.318,0.536,0.269,0.129,0.273,-10.7,East,5,47,35,0.573,True,True,True,0.896551724137931,0.6206896551724138,0.7931034482758621,0.13793103448275862,0.034482758620689655,0.13793103448275862,0.3448275862068966,0.3448275862068966,0.7586206896551724,0.13793103448275862,0.9655172413793104,0.2413793103448276,0.5517241379310345,0.1724137931034483,0.3103448275862069,0.06896551724137931,8,False,0.7931034482758621,0.27586206896551724,0.8620689655172413,0.0,0.06896551724137931,0.5862068965517241,0.4827586206896552,0.4827586206896552,0.5172413793103449,0.5862068965517241,1.0,0.41379310344827586,0.20689655172413793,0.4482758620689655,0.1724137931034483,0.7931034482758621,True,True,-0.10344827586206895,-0.3448275862068966,0.06896551724137923,-0.13793103448275862,0.034482758620689655,0.44827586206896547,0.13793103448275862,0.13793103448275862,-0.2413793103448275,0.44827586206896547,0.03448275862068961,0.17241379310344826,-0.3448275862068966,0.27586206896551724,-0.13793103448275862,0.7241379310344828,0,,,0.0,False
1610612746,2022,2022-23,LA Clippers,114.0,113.6,0.5,98.84,17.5,0.143,0.551,0.551,0.278,0.143,0.273,0.543,0.253,0.13,0.269,5.1,West,5,44,38,0.537,True,True,True,0.41379310344827586,0.5517241379310345,0.4482758620689655,0.3103448275862069,0.2413793103448276,0.5862068965517241,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.5862068965517241,0.3103448275862069,0.4482758620689655,0.13793103448275862,0.20689655172413793,0.1724137931034483,0.7931034482758621,11,False,0.896551724137931,0.5172413793103449,0.7931034482758621,0.3448275862068966,0.41379310344827586,0.4482758620689655,0.7241379310344828,0.7241379310344828,0.6896551724137931,0.4482758620689655,0.4482758620689655,0.3448275862068966,0.3103448275862069,0.3448275862068966,0.7931034482758621,0.8275862068965517,True,True,0.4827586206896552,-0.03448275862068961,0.3448275862068966,0.03448275862068967,0.17241379310344826,-0.13793103448275856,0.06896551724137934,0.06896551724137934,0.034482758620689724,-0.13793103448275856,0.13793103448275862,-0.10344827586206895,0.1724137931034483,0.13793103448275865,0.6206896551724138,0.03448275862068961,2,30.0,393.99833333333333,422.19,True
1610612752,2024,2024-25,New York Knicks,117.3,113.3,4.0,97.64,19.6,0.134,0.556,0.556,0.232,0.134,0.305,0.549,0.223,0.147,0.29,3.8,East,3,51,31,0.622,True,True,True,0.8620689655172413,0.41379310344827586,0.7586206896551724,0.13793103448275862,0.6896551724137931,0.20689655172413793,0.7241379310344828,0.7241379310344828,0.1724137931034483,0.20689655172413793,0.6896551724137931,0.7241379310344828,0.1724137931034483,0.5862068965517241,0.3793103448275862,0.5862068965517241,5,False,0.896551724137931,0.20689655172413793,0.8620689655172413,0.1724137931034483,0.6551724137931034,0.3103448275862069,0.7241379310344828,0.7241379310344828,0.1724137931034483,0.3103448275862069,0.7931034482758621,0.3103448275862069,0.5517241379310345,0.5172413793103449,0.10344827586206896,0.9310344827586207,True,True,0.034482758620689724,-0.20689655172413793,0.10344827586206895,0.03448275862068967,-0.034482758620689724,0.10344827586206898,0.0,0.0,0.0,0.10344827586206898,0.10344827586206895,-0.41379310344827586,0.3793103448275862,-0.06896551724137923,-0.27586206896551724,0.3448275862068966,1,51.0,634.1516666666666,634.1516666666666,False
1610612744,2025,2025-26,Golden State Warriors,113.8,114.4,-0.5,100.05,20.0,0.156,0.549,0.549,0.238,0.156,0.302,0.553,0.247,0.158,0.316,2.7,West,10,37,45,0.451,False,True,False,0.3793103448275862,0.5172413793103449,0.3448275862068966,0.41379310344827586,0.896551724137931,0.8620689655172413,0.5862068965517241,0.5862068965517241,0.1724137931034483,0.8620689655172413,0.5517241379310345,0.6551724137931034,0.2413793103448276,0.8620689655172413,0.7931034482758621,0.6551724137931034,20,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,False
1610612745,2016,2016-17,Houston Rockets,114.1,108.4,5.7,100.55,18.1,0.15,0.545,0.545,0.304,0.15,0.281,0.519,0.25,0.149,0.283,-6.5,West,3,55,27,0.671,True,True,True,0.9655172413793104,0.5517241379310345,0.9310344827586207,0.9310344827586207,0.8275862068965517,0.7241379310344828,0.9310344827586207,0.9310344827586207,0.9655172413793104,0.7241379310344828,0.5172413793103449,0.6896551724137931,0.2413793103448276,0.6551724137931034,0.5862068965517241,0.41379310344827586,3,False,1.0,0.1724137931034483,1.0,0.5517241379310345,0.13793103448275862,0.3103448275862069,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.3103448275862069,0.2413793103448276,0.41379310344827586,0.1724137931034483,0.6551724137931034,0.10344827586206896,1.0,True,True,0.03448275862068961,-0.3793103448275862,0.06896551724137934,-0.3793103448275862,-0.6896551724137931,-0.41379310344827586,0.034482758620689724,0.034482758620689724,-0.034482758620689724,-0.41379310344827586,-0.27586206896551724,-0.2758620689655173,-0.06896551724137931,0.0,-0.48275862068965514,0.5862068965517242,0,,,0.0,True
1610612740,2019,2019-20,New Orleans Pelicans,110.5,111.8,-1.3,103.89,18.4,0.156,0.539,0.539,0.256,0.156,0.287,0.532,0.268,0.139,0.271,-23.3,West,13,30,42,0.417,False,False,False,0.5172413793103449,0.6896551724137931,0.3448275862068966,0.896551724137931,0.7931034482758621,0.9655172413793104,0.8275862068965517,0.8275862068965517,0.3103448275862069,0.9655172413793104,0.896551724137931,0.5172413793103449,0.5517241379310345,0.3448275862068966,0.5862068965517241,0.034482758620689655,21,True,0.6551724137931034,0.7586206896551724,0.41379310344827586,0.6896551724137931,0.6551724137931034,0.6896551724137931,0.4482758620689655,0.4482758620689655,0.9655172413793104,0.6896551724137931,1.0,0.8275862068965517,0.27586206896551724,0.3793103448275862,0.06896551724137931,0.6896551724137931,False,False,0.13793103448275856,0.06896551724137923,0.06896551724137928,-0.2068965517241379,-0.13793103448275867,-0.27586206896551724,-0.3793103448275862,-0.3793103448275862,0.6551724137931034,-0.27586206896551724,0.10344827586206895,0.31034482758620685,-0.27586206896551724,0.03448275862068961,-0.5172413793103448,0.6551724137931035,1,13.0,904.4433333333334,904.4433333333334,False
